Baltic,North sea,est/cand,ScientificName_accepted,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Form,Area of origin,Sub basins,First observed year,Status,Characteristics,Salinityn max,Salinity n min,Salinity b max,Salinity b min,Vector,Impact,Impact severeness,Comments
no,yes,est,Paralithodes camtschaticus,233889,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,,camtschaticus,,,North Pacific,,,,,,,,,,,,
yes,yes,est,Pfiesteria piscicida,246598,Chromista,Myzozoa,Dinophyceae,Peridiniales,Pfiesteriaceae,Pfiesteria,,piscicida,,,North America,,,,,35,0,,,,,,
no,yes,est,Phaeocystis pouchetii,115106,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,pouchetii,,,"North Atlantic Ocean: partly native in European waters, Greenland, Svalbard, Russian Far East, Brazil, New Zealand",,1983,"Established in the Mediterranean, Black Sea.","Eurythermal and stenohaline species which form regular dense blooms, where it may dominate the entire spring bloom harmful algae.",34.9,25.7,,,"Shipping, ballast water","Competition, foodweb, toxic",,It dominates at bloom situations the native phytoplankton community and impaced the marine food web. Found to be toxic to cod larvae in Norway
yes,yes,est,Potamocorbula amurensis,397175,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Potamocorbula,,amurensis,,,"China, Japan, Korea (Carlton et al. 1990)",,,,,32,0.1,,,,,,
yes,yes,est,Pseudochattonella verruculosa,531446,Chromista,Ochrophyta,Dictyochophyceae,Florenciellales,Florenciellales incertae sedis,Pseudochattonella,,verruculosa,,,Japan (Daisie),,,,,33,11,,,,,,
yes,yes,est,Rangia cuneata,156991,Animalia,Mollusca,Bivalvia,,Mactridae,Rangia,,cuneata,,,,,,,,15,5,,,,,,"Nord See, von Karin"
yes,yes,est,Rapana venosa,140416,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Rapana,,venosa,,,Asia,,,,,32,7,,,,,,
yes,yes,est,Rhithropanopeus harrisii,107414,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,,harrisii,,Free walking,North America,"BP, K, OL, VL",1948,Established,Benthic omnivore.,30,18,18,0.5,Shipping,Competition,,
yes,no,est,Styela clava,103929,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,,clava,,Fouling,Pacific 2°North Sea,"K, LF11",1980’s,Established,Benthic suspension feeder. ,40,18,30,18,Shipping Aquaculture,"Competition, aquaculture, aquatic transport",,
no,yes,est,Stypopodium schimperi,145391,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Stypopodium,,schimperi,,,"IndoPacific, Red Sea",,,,Marine,,,,,"Ballast water, canals ","Competition, Habitat change, Constructions",,"Thin thalli with large surface area usually have rapid uptake for nutrients, with negative impact on competing algae, and substrate is monopolized, his implies negative impact on other sessile organisms. It fouls submarine infrastructure and seasonal huges  quantities are cast ashore with negative impact on aesthetic values and tourism"
yes,yes,est,Undaria pinnatifida,145721,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Undaria,,pinnatifida,,,"Northwestern Pacific 2°Atlantic ,UK, Mediterranean",,,,,31,6,,,,,,
yes,yes,cand,Anadara inaequivalvis,138785,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Anadara,,inaequivalvis,,,,,,,,,,,,,,,
yes,yes,cand,Blackfordia virginica,117313,Animalia,Cnidaria,Hydrozoa,Leptothecata,Blackfordiidae,Blackfordia,,virginica,,,,,,,,,,,,,,,
yes,yes,cand,Grandidierella japonica,238740,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,,japonica,,,,,,,,,,,,,,,
yes,yes,cand,Maeotias marginata,234026,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,,marginata,,,,,,,,,,,,,,,
yes,yes,cand,Neogobius fluviatilis,126913,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius,,fluviatilis,,,,,,,,,,,,,,,
yes,yes,cand,Babka gymnotrachelus,1016384,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Babka,,gymnotrachelus,,,,,,,,,,,,,,,
yes,yes,cand,Ponticola kessleri,1021174,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Ponticola,,kessleri,,,,,,,,,,,,,,,
yes,yes,cand,Melanothamnus harveyi,1027787,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neosiphonia,,harveyi,,,,,,,,,,,,,,,
yes,yes,cand,Polysiphonia morrowii,232563,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,,morrowii,,,,,,,,,,,,,,,
yes,yes,cand,Potamothrix vejdovskyi,137565,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Potamothrix,,vejdovskyi,,,,,,,,,,,,,,,
yes,yes,cand,Spondylus spinosus,141552,Animalia,Mollusca,Bivalvia,Pectinida,Spondylidae,Spondylus,,spinosus,,,,,,,,,,,,,,,
