Species.Name,AphiaID,Match type,ScientificName,Authority,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Actinocyclus octonarius var. crassus,160648,exact,Actinocyclus octonarius var. crassus,"(W.Smith) Hendey, 1954",alternate representation,162772,Eupodiscus crassus,"W.Smith, 1853",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,octonarius,
Actinocyclus octonarius var. octonarius,162770,exact,Actinocyclus octonarius var. octonarius,"Ehrenberg, 1837",uncertain,162770,Actinocyclus octonarius var. octonarius,"Ehrenberg, 1837",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,,octonarius,
Actinoptychus senarius,148948,exact,Actinoptychus senarius,"(Ehrenberg) Ehrenberg, 1843",alternate representation,162810,Actinocyclus senarius,"Ehrenberg, 1838",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,senarius,
Actinoptychus splendens,148949,exact,Actinoptychus splendens,"(Shadbolt) Ralfs ex Pritchard, 1861",accepted,148949,Actinoptychus splendens,"(Shadbolt) Ralfs ex Pritchard, 1861",Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,,splendens,
Acutodesmus obliquus,623575,exact,Acutodesmus obliquus,"(Turpin) Hegewald & Hanagata, 2000",accepted,623575,Acutodesmus obliquus,"(Turpin) Hegewald & Hanagata, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Acutodesmus,,obliquus,
Aegisthus,115186,exact,Aegisthus,"Giesbrecht, 1891",accepted,115186,Aegisthus,"Giesbrecht, 1891",Animalia,Arthropoda,Hexanauplia,Harpacticoida,Aegisthidae,Aegisthus,,,
Aeromonas,393941,exact,Aeromonas,,accepted,393941,Aeromonas,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,
Aglaothamnion hookeri,144496,exact,Aglaothamnion hookeri,"(Dillwyn) Maggs & Hommersand, 1993",accepted,144496,Aglaothamnion hookeri,"(Dillwyn) Maggs & Hommersand, 1993",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Aglaothamnion,,hookeri,
Aglaothamnion roseum,144499,exact,Aglaothamnion roseum,"(Roth) Maggs & L'Hardy-Halos, 1993",accepted,144499,Aglaothamnion roseum,"(Roth) Maggs & L'Hardy-Halos, 1993",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Aglaothamnion,,roseum,
Akashiwo sanguinea,232546,exact,Akashiwo sanguinea,"(K.Hirasaka) G.Hansen & Ø.Moestrup, 2000",accepted,232546,Akashiwo sanguinea,"(K.Hirasaka) G.Hansen & Ø.Moestrup, 2000",Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,,sanguinea,
